Film,image_name
Age of Ultron,poster_ultron
Ant-Man,poster_antman
Ant-Man and the Wasp,poster_antman2
Black Panther,poster_blackpanther
Captain America: The First Avenger,poster_captainamerica
Captain America: The Winter Soldier,poster_wintersoldier
Captain Marvel,poster_captainmarvel
Civil War,poster_civilwar
Doctor Strange,poster_doctorstrange
Endgame,poster_endgame
Guardians of the Galaxy,poster_guardians
Guardians of the Galaxy 2,poster_guardians2
Infinity War,poster_infinitywar
Iron Man,poster_ironman
Iron Man 2,poster_ironman2
Iron Man 3,poster_ironman3
The Avengers,poster_avengers
Thor,poster_thor
Thor Ragnarok,poster_ragnarok
Thor: The Dark World,poster_darkworld
