Film,Rule,Class
Iron Man,"""Stark"" said or seen",S
Iron Man,Suit malfunctions,M
Iron Man,Hologram or heads-up display,S
Iron Man,"Someone says ""Shield""",S
Iron Man,Flies for first time,L
Iron Man,Iron man flies,S
Iron Man,Hero in super-suit for first time,M
Iron Man,"""Real"" song plays",M
Iron Man,That awful Iron Man face-cam,S
Iron Man,Howard Stark appears or is mentioned,S
Iron Man,"""They said the name of the thing!""",L
Iron Man 2,Iron man flies,S
Iron Man 2,Hero in super-suit for first time,M
Iron Man 2,Sassy Nick Fury,S
Iron Man 2,"""Real"" song plays",M
Iron Man 2,That awful Iron Man face-cam,S
Iron Man 2,Howard Stark appears or is mentioned,S
Iron Man 2,"""They said the name of the thing!""",L
Iron Man 2,"New character with ""foreign"" accent",M
Thor,Mentions a fictional location,S
Thor,Blatently CG villain first appears,M
Thor,Portal/wormhole opens,S
Thor,"""They said the name of the thing!""",L
Thor,"New character with ""foreign"" accent",M
Captain America: The First Avenger,Hero in super-suit for first time,M
Captain America: The First Avenger,Blatently CG villain first appears,M
Captain America: The First Avenger,Hydra mentioned,S
Captain America: The First Avenger,Improbable Captain America shield physics,S
Captain America: The First Avenger,Howard Stark appears or is mentioned,S
Captain America: The First Avenger,"""They said the name of the thing!""",L
Captain America: The First Avenger,"New character with ""foreign"" accent",M
The Avengers,Iron man flies,S
The Avengers,Sassy Nick Fury,S
The Avengers,Mentions a fictional location,S
The Avengers,Portal/wormhole opens,S
The Avengers,Hydra mentioned,S
The Avengers,That awful Iron Man face-cam,S
The Avengers,Improbable Captain America shield physics,S
The Avengers,Howard Stark appears or is mentioned,S
The Avengers,"""They said the name of the thing!""",L
The Avengers,"New character with ""foreign"" accent",M
Iron Man 3,Iron man flies,S
Iron Man 3,Hero in super-suit for first time,M
Iron Man 3,That awful Iron Man face-cam,S
Iron Man 3,"""They said the name of the thing!""",L
Iron Man 3,"New character with ""foreign"" accent",M
Thor: The Dark World,Mentions a fictional location,S
Thor: The Dark World,Portal/wormhole opens,S
Thor: The Dark World,"""They said the name of the thing!""",L
Thor: The Dark World,Spaceship/futuristic vehicle,S
Thor: The Dark World,"New character with ""foreign"" accent",M
Captain America: The Winter Soldier,Sassy Nick Fury,S
Captain America: The Winter Soldier,Hydra mentioned,S
Captain America: The Winter Soldier,Improbable Captain America shield physics,S
Captain America: The Winter Soldier,Howard Stark appears or is mentioned,S
