Film,STARK,FURY,SONG,LOCATION,CG_VILLAIN,PORTAL,HYDRA,CAP,SUIT,STARK_SR,NAME,SHIP,SLOWMO,ANTMAN,TWIST,CROSSOVER,AVENGER,HAMMER,VILLAIN
Iron Man,Y,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,Y
Iron Man 2,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,Y
Thor,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,Y
Captain America: The First Avenger,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y
The Avengers,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,Y,Y,N
Iron Man 3,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y
Thor: The Dark World,N,N,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,Y,Y
Captain America: The Winter Soldier,N,Y,N,N,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,Y
Guardians of the Galaxy,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y
Age of Ultron,N,Y,N,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y
Ant-Man,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y
Civil War,N,N,N,Y,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,N
Doctor Strange,N,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y
Guardians of the Galaxy 2,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,Y
Thor Ragnarok,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,N
Black Panther,N,N,N,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y
Infinity War,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,Y,N
Ant-Man and the Wasp,N,N,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y
Captain Marvel,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,Y
Endgame,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y
